Inner,Category
AHW,Weighing Scale
ATW,Weighing Scale
QHW,Weighing Scale
JW,Weighing Scale
JWP,Weighing Scale
ZHW,Weighing Scale
UTW,Weighing Scale
ROW,Weighing Scale
PRW,Weighing Scale
AW20,Weighing Scale
AA7,Weighing Scale
PCA10,Weighing Scale
AHC,Counting Scale
QHC,Counting Scale
ZHC,Counting Scale
UTC,Counting Scale
RW,Indicator
RWP,Indicator
RWS,Indicator
BW,Indicator
BWS,Indicator
CW,Indicator
CWS,Indicator
NTW,Indicator
NSW,Indicator
VW,Indicator
VC,Indicator
VW-L,Indicator
PDS,Indicator
HW,Indicator
HWS,Indicator
T2200P,Indicator
NHB,Balance
EHB,Balance
IHB,Balance
NHB24,Balance
EHB24,Balance
IHB24,Balance
QHW24,Balance
DHB,Balance
TB-L,Balance
T-Max,Price Computing Scale
T-Max,Weighing Scale
T-Max,Counting Scale
APP,Price Computing Scale
LPP,Price Computing Scale
S15,Indicator
