Customer,Inner,SCP
AHW,AHW,SCP-01/SCP-02/SCP-03
ATW,ATW,SCP-04
QHW,QHW,SCP-05/SCP-06/SCP-07
JW,JW,SCP-08
JWP,JWP,SCP-09
ZHW,ZHW,SCP-10
UTW,UTW,SCP-10
ROW,ROW,SCP-11
PRW,PRW,SCP-12
AHC,AHC,SCP-13
QHC,QHC,SCP-13
ZHC,ZHC,SCP-14
UTC,UTC,SCP-15
RW,RW,SCP-17
RWP,RWP,SCP-17
RWS,RWS,SCP-17
BW,BW,SCP-06
BWS,BWS,SCP-06
CW,CW,SCP-06
CWS,CWS,SCP-06
NTW,NTW,SCP-06
NSW,NSW,SCP-06
VW,VW,SCP-06
VC,VC,SCP-04
VW-L,VW-L,SCP-23
PDS,PDS,SCP-18
HW,HW,SCP-X
HWS,HWS,SCP-X
T2200P,T2200P,SCP-X
NHB,NHB,SCP-19
EHB,EHB,SCP-19
IHB,IHB,SCP-19
NHB24,NHB24,SCP-20
EHB24,EHB24,SCP-20
IHB24,IHB24,SCP-20
QHW24,QHW24,SCP-20
DHB,DHB,SCP-21
TB-L,TB-L,SCP-22
T-Max,T-Max,SCP-X
APP,APP,SCP-X
LPP,LPP,SCP-X
S15,S15,SCP-X
